Year,Country,Artist,Song,Language,Points,Rank,id
2018,Azerbaijan,Aisel,X My Heart,English,,,
2018,Iceland,Ari Ólafsson,Our Choice,English,,,
2018,Albania,Eugent Bushpepa,Mall,Albanian,,,
2018,Belgium,Sennek,A Matter of Time,English,,,
2018,Czech Republic,Mikolas Josef,Lie to Me,English,,,
2018,Lithuania,Ieva Zasimauskaitė,When We're Old,English,,,
2018,Israel,Netta,Toy,English,,,
2018,Belarus,Alekseev,Forever,English,,,
2018,Estonia,Elina Nechayeva,La forza,Italian,,,
2018,Bulgaria,Equinox,Bones,English,,,
2018,Macedonia,Eye Cue,Lost and Found,English,,,
2018,Croatia,Franka,Crazy,English,,,
2018,Austria,Cesár Sampson,Nobody but You,English,,,
2018,Greece,Yianna Terzi,Oniro mou,Greek,,,
2018,Finland,Saara Aalto,Monsters,English,,,
2018,Armenia,Sevak Khanagyan,Qami,Armenian,,,
2018,Switzerland,Zibbz,Stones,English,,,
2018,Ireland,Ryan O'Shaughnessy,Together,English,,,
2018,Cyprus,Eleni Foureira,Fuego,English,,,
2018,Norway,Alexander Rybak,That's How You Write a Song,English,,,
2018,Romania,The Humans,Goodbye,English,,,
2018,Serbia,Sanja Ilić & Balkanika,Nova deca,Serbian,,,
2018,San Marino,Jessika,Who We Are,English,,,
2018,Denmark,Rasmussen,Higher Ground,English,,,
2018,Russia,Julia Samoylova,I Won't Break,English,,,
2018,Moldova,DoReDos,My Lucky Day,English,,,
2018,Netherlands,Waylon,Outlaw in 'Em,English,,,
2018,Australia,Jessica Mauboy,We Got Love,English,,,
2018,Georgia,Ethno - Jazz Band Iriao,For You,Georgian,,,
2018,Poland,Gromee,Light Me Up,English,,,
2018,Malta,Christabelle,Taboo,English,,,
2018,Hungary,AWS,Viszlát nyár,Hungarian,,,
2018,Latvia,Laura Rizzotto,Funny Girl,English,,,
2018,Sweden,Benjamin Ingrosso,Dance You Off,English,,,
2018,Montenegro,Vanja Radovanović,Inje,Montenegrin,,,
2018,Slovenia,Lea Sirk,Hvala ne!,Slovene,,,
2018,Ukraine,Mélovin,Under the Ladder,English,,,
2018,Portugal,Cláudia Pascoal,O jardim,Portuguese,,,
2018,France,Madame Monsieur,Mercy,French,,,
2018,Germany,Michael Schulte,You Let Me Walk Alone,English,,,
2018,Italy,Ermal Meta,Non mi avete fatto niente,Italian,,,
2018,Spain,Amaia Romero, Tu canción,Spanish,,,
2018,United Kingdom,SuRie,Storm,English,,,