Song,Country,id,Artist,Year,Language,Points,Rank
Hero,Sweden,5thbBlXWqYroVWot4a5LlN,Charlotte Perrelli,2008,English,47,18
All Night Long,Denmark,,Simon Mathew,2008,English,60,15
Peace Will Come,Georgia,,Diana Gurtskaya,2008,English,83,11
Shady Lady,Ukraine,,Ani Lorak,2008,English,230,2
Divine,France,6JYxLv2GGPaZDkyJaHSQJY,Sébastien Tellier,2008,"English, French",47,19
Day After Day,Azerbaijan,,Elnur and Samir,2008,English,132,8
Secret Combination,Greece,1E6EOpzAkHbKAMZscImC41,Kalomira,2008,English,218,3
Baila el Chiki-chiki,Spain,7wUKRQMHG0fI3DBzi6Tp29,Rodolfo Chikilicuatre,2008,"Spanish, English",55,16
Oro (Оро),Serbia,,Jelena Tomašević feat. Bora Dugić,2008,Serbian,160,6
Believe,Russia,,Dima Bilan,2008,English,272,1
Hold On Be Strong,Norway,,Maria Haukaas Storeng,2008,English,182,5
Love,Lithuania,,Sasha Son,2009,"English, Russian",23,23
There Must Be Another Way,Israel,,Noa and Mira Awad,2009,"English, Hebrew, Arabic",53,16
Et s'il fallait le faire,France,068tmpCeSwnAWm3XtECRj9,Patricia Kaas,2009,French,107,8
La voix,Sweden,7Kz4f9CgtAfbmPBMX5q2ZV,Malena Ernman,2009,"French, English",33,21
Lijepa Tena,Croatia,,Igor Cukrov feat. Andrea,2009,Croatian,45,18
Todas as ruas do amor,Portugal,0tUCbArcV1LIbXSEye6uys,Flor-de-Lis,2009,Portuguese,57,15
Is It True?,Iceland,,Yohanna[69],2009,English,218,2
This Is Our Night,Greece,3KcRTivsw7hbxSRMGDtsMS,Sakis Rouvas,2009,English,120,7
Jan Jan (Ջան Ջան),Armenia,,Inga and Anush,2009,"English, Armenian",92,10
Mamo (Мамо),Russia,,Anastasiya Prikhodko,2009,"Russian, Ukrainian",91,11
Always,Azerbaijan,,AySel and Arash[74],2009,English,207,3
Bistra voda,Bosnia and Herzegovina,72pPz0QL8HncjUkgFJguHb,Regina,2009,Bosnian[70][71],106,9
Hora din Moldova,Moldova,,Nelly Ciobanu,2009,"Romanian, English",69,14
What If We,Malta,6M8nlXniw9MEh7uqlAMe8e,Chiara,2009,English,31,22
Rändajad,Estonia,6IiZBBFqyyK3CLo9BqmmAH,Urban Symphony,2009,Estonian,129,6
Believe Again,Denmark,,Niels Brinck,2009,English,74,13
Miss Kiss Kiss Bang,Germany,,Alex Swings Oscar Sings![75],2009,English,35,20
Düm Tek Tek,Turkey,3SxMoYjub3X3q5hJm9ZPyM,Hadise,2009,English,177,4
Carry Me in Your Dreams,Albania,,Kejsi Tola,2009,English,48,17
Fairytale,Norway,37lYrZzmbRiEySPGkiGjXA,Alexander Rybak,2009,English,387,1
Be My Valentine,Ukraine,,Svetlana Loboda,2009,English,76,12
The Balkan Girls,Romania,32e6HtEtm1N8MEcvV4Mq6k,Elena,2009,English,40,19
It's My Time,United Kingdom,,Jade Ewen,2009,English,173,5
Lose Control,Finland,5UTkoeLEHv0zPy6XtKsCZK,Waldo's People,2009,English,22,25
La noche es para mí,Spain,,Soraya Arnelas,2009,Spanish,23,24
Drip Drop,Azerbaijan,38hIyhovrQzznCiNjnG5LI,Safura,2010,English,145,5
Algo Pequeñito,Spain,4TNq9oD4rENIf10uzKLVfS,Daniel Diges,2010,Spanish,68,15
My Heart Is Yours,Norway,6goCLerItGxMQ5kWGVxclD,Didrik Solli-Tangen,2010,English,35,20
Run Away,Moldova,,SunStroke Project and Olia Tira,2010,English,27,22
Life Looks Better in Spring,Cyprus,58N5G89W3yFSqZytItT1Ah,Jon Lilygreen and The Islanders,2010,English,27,21
Thunder and Lightning,Bosnia and Herzegovina,,Vukašin Brajić,2010,English,51,17
Me and My Guitar,Belgium,2NN9Tsj56bSWq2cAklqsPB,Tom Dice,2010,English,143,6
Ovo je Balkan (Oво je Балкан),Serbia,,Milan Stanković,2010,Serbian,72,13
Butterflies,Belarus,,3+2 feat Robert Wells,2010,English,18,24
It's for You,Ireland,,Niamh Kavanagh,2010,English,25,23
OPA (ΩΠΑ),Greece,,Giorgos Alkaios and Friends,2010,Greek1,140,8
That Sounds Good to Me,United Kingdom,,Josh Dubovie,2010,English,10,25
Shine,Georgia,4X2DjLtq0XEj4ukogWZCAv,Sofia Nizharadze,2010,English,136,9
We Could Be the Same,Turkey,19BkfCQ8jcAlb33zf7jzVa,maNga,2010,English,170,2
It's All About You,Albania,,Juliana Pasha,2010,English,62,16
Je ne sais quoi,Iceland,5htZ21M2zhg3WLTib7YQ5r,Hera Björk,2010,English,41,19
Sweet People,Ukraine,7CJ8kE34MpQpL8jZUazdPt,Alyosha,2010,English,108,10
Allez Ola Olé,France,1xSl7uE9De7aLDEGXahCJB,Jessy Matador,2010,French,82,12
Playing with Fire,Romania,,Paula Seling and Ovi,2010,English,162,3
Lost and Forgotten,Russia,,Peter Nalitch and Friends,2010,English,90,11
Apricot Stone,Armenia,,Eva Rivas,2010,English,141,7
Satellite,Germany,2UjNsh4ipNrmog6wdS2JVv,Lena,2010,English,246,1
Há dias assim,Portugal,,Filipa Azevedo,2010,Portuguese,43,18
Milim (מילים),Israel,,Harel Skaat,2010,Hebrew,71,14
In a Moment Like This,Denmark,,Chanée and N'evergreen,2010,English,149,4
Da Da Dam,Finland,2rckqWWzE0HM3C6ZppBr0f,Paradise Oskar,2011,English,57,21
Love in Rewind,Bosnia and Herzegovina,60w4OUxN2PmTnlrgk4aRBX,Dino Merlin,2011,"English, Bosnian",125,6
New Tomorrow,Denmark,7i0oF2AUXzpoLeMQEFkdcd,A Friend in London,2011,English,134,5
C'est ma vie,Lithuania,,Evelina Sašenko,2011,English1,63,19
What About My Dreams?,Hungary,,Kati Wolf,2011,"English, Hungarian",53,22
Lipstick,Ireland,,Jedward,2011,English,119,8
Popular,Sweden,64WR5TPXZZ2wsWYA3enKfK,Eric Saade,2011,English,185,3
Rockefeller Street,Estonia,4rvFyA7h88s8DehCOjqW9K,Getter Jaani,2011,English,44,24
Watch My Dance,Greece,,Loukas Giorkas feat. Stereo Mike,2011,"English, Greek",120,7
Get You,Russia,,Alexey Vorobyov,2011,"English, Russian",77,16
Sognu,France,1eGfYqCI1IDqErWMnlDJiu,Amaury Vassili,2011,Corsican,82,15
Madness of Love,Italy,783Nctep4uNaLD7IRMxITK,Raphael Gualazzi,2011,"Italian, English",189,2
In Love for a While,Switzerland,4GtO1RnTMOhGusfp63Q3MN,Anna Rossinelli,2011,English,19,25
I Can,United Kingdom,,Blue,2011,English,100,11
So Lucky,Moldova,,Zdob şi Zdub,2011,English,97,12
Taken by a Stranger,Germany,,Lena,2011,English,107,10
Change,Romania,,Hotel FM,2011,English,77,17
The Secret Is Love,Austria,6w44eqrgNiCQqPNwGaTSSJ,Nadine Beiler,2011,English,64,18
Running Scared,Azerbaijan,,Ell & Nikki,2011,English,221,1
No One,Slovenia,18JxAvZNiJ8387A3As20mg,Maja Keuc,2011,English,96,13
Coming Home,Iceland,,Sjonni's Friends,2011,English,61,20
Que me quiten lo bailao,Spain,,Lucía Pérez,2011,Spanish,50,23
Angel,Ukraine,,Mika Newton,2011,English,159,4
Čaroban (Чаробан),Serbia,,Nina,2011,Serbian,85,14
One More Day,Georgia,1pWm08q3oWv09VmRfLeGbV,Eldrine,2011,English,110,9
Love Will Set You Free,United Kingdom,0gbIrlLpSKnonxTfdWI3zA,Engelbert Humperdinck,2012,English,12,25
Sound of Our Hearts,Hungary,5RNQYSq4W6SyvzjG0aNcdV,Compact Disco,2012,English,19,24
Suus3,Albania,,Rona Nishliu,2012,Albanian,146,5
Love Is Blind,Lithuania,,Donny Montell,2012,English,70,14
Korake ti znam,Bosnia and Herzegovina,6jJo1iylxb0dciKH6wv1cs,Maya Sar,2012,Bosnian,55,18
Party for Everybody,Russia,,Buranovskiye Babushki,2012,"Udmurt, English",259,2
Never Forget,Iceland,,Greta Salóme and Jónsi,2012,English,46,20
La La Love,Cyprus,,Ivi Adamou,2012,English,65,16
Echo (You and I),France,1iqnkBWge47Yhboceuceas,Anggun,2012,"French, English",21,22
L'amore è femmina (Out of Love),Italy,,Nina Zilli,2012,"English, Italian",101,9
Kuula,Estonia,4AKJSL7TqJ1JwSdTMm45ht,Ott Lepland,2012,Estonian,120,6
Stay,Norway,2EMatUZHGgDWHCTysxZ8nP,Tooji,2012,English,7,26
When the Music Dies,Azerbaijan,1w2jm6QteAq3qw9xAYSe2W,Sabina Babayeva,2012,English,150,4
Zaleilah,Romania,73VPoYetnfQbWT8R9QJzaD,Mandinga,2012,"Spanish, English",71,12
Should've Known Better,Denmark,,Soluna Samay,2012,English,21,23
Aphrodisiac,Greece,5gchlXy35igCMYuK9UTcNj,Eleftheria Eleftheriou,2012,English,64,17
Euphoria,Sweden,4Qh4H4KxrlvTjPA6sAJC07,Loreen,2012,English,372,1
Love Me Back,Turkey,6Sa2IXbpv1TTpYdBY0dJXH,Can Bonomo,2012,English,112,7
Quédate conmigo,Spain,1TPrt3IdwHKzGwLBXbnf7N,Pastora Soler,2012,Spanish,97,10
Standing Still,Germany,18iPfjcNpNOx0XtpMhogl2,Roman Lob,2012,English,110,8
This Is the Night,Malta,3crsaMSUy4NWIm0ARcMRFK,Kurt Calleja,2012,English,41,21
Crno i belo (Црно и бело),Macedonia,,Kaliopi,2012,Macedonian,71,13
Waterline,Ireland,0xCMGAf80y3dUevG2qXpvS,Jedward,2012,English,46,19
Nije ljubav stvar (Није љубав ствар),Serbia,,Željko Joksimović,2012,Serbian,214,3
Be My Guest,Ukraine,,Gaitana,2012,English,65,15
Lăutar,Moldova,,Pasha Parfeny,2012,English7,81,11
L'enfer et moi,France,66NwER5WGfTuRJPdRZPujt,Amandine Bourgeois,2013,French,14,23
Something,Lithuania,7pyDcgyq6T2lNuJEYwhSlX,Andrius Pojavis,2013,English,17,22
O mie,Moldova,2OQ8r8PyqHRQgP5rZoNk5K,Aliona Moon,2013,Romanian,71,11
Marry Me,Finland,,Krista Siegfrids,2013,English,13,24
Contigo hasta el final,Spain,,ESDM,2013,Spanish2,8,25
Love Kills,Belgium,0FyoA6hNmCcGN5JKx8Rddp,Roberto Bellarosa,2013,English,71,12
Et uus saaks alguse,Estonia,1AyIVywds9OFxkhRXdPQ7j,Birgit,2013,Estonian,19,20
Solayoh,Belarus,1PYaCFko32RUtuSMuQTRAT,Alyona Lanskaya,2013,English,48,16
Tomorrow,Malta,,Gianluca,2013,English,120,8
What If,Russia,,Dina Garipova,2013,English,174,5
Glorious,Germany,1UqzLT0ZGWXD9K5npit5Nr,Cascada,2013,English,18,21
Lonely Planet,Armenia,,Dorians,2013,English,41,18
Birds,Netherlands,3k1Gv683KIfIyhRFJ6lKr0,Anouk,2013,English,114,9
It's My Life,Romania,,Cezar,2013,English,65,13
Believe in Me,United Kingdom,,Bonnie Tyler,2013,English,23,19
You,Sweden,3BRsqgwFC4oluDUkxRY5GC,Robin Stjernberg,2013,English,62,14
Kedvesem (Zoohacker Remix),Hungary,4TehWvsJK8Inb4esGxtNDc,ByeAlex,2013,Hungarian,84,10
Only Teardrops,Denmark,,Emmelie de Forest,2013,English,281,1
Ég á líf,Iceland,4Q0yu5ez3b3zFaTLNtdduq,Eythor Ingi,2013,Icelandic,47,17
Hold Me,Azerbaijan,2Xfav1hvYvP7pBAumIQLxC,Farid Mammadov,2013,English,234,2
Alcohol Is Free,Greece,,Koza Mostra feat. Agathon Iakovidis,2013,Greek1,152,6
Gravity,Ukraine,1WxAGei8rvLiUdr2S3Fh87,Zlata Ognevich,2013,English,214,3
L'essenziale,Italy,5klQSk2bLb0U3vnvGJUZf4,Marco Mengoni,2013,Italian,126,7
I Feed You My Love,Norway,24C9Klv9ddyg0TMs0DcCV3,Margaret Berger,2013,English,191,4
Waterfall,Georgia,,Nodi Tatishvili and Sophie Gelovani,2013,English,50,15
Only Love Survives,Ireland,7ol1CVOYISQsQmi2uW16kh,Ryan Dolan,2013,English,5,26
Tick-Tock,Ukraine,4kIheg2ykamUNNrSxL7t56,Mariya Yaremchuk,2014,English,113,6
Cheesecake,Belarus,4g7dROdE3ceRrBqmXR5TNF,Teo,2014,English,43,16
Start a Fire,Azerbaijan,3xTzDgXwnvIR5G3Qzd8aQP,Dilara Kazimova,2014,English,33,22
No Prejudice,Iceland,771It91cI450TNGMVLcYzX,Pollapönk,2014,English,58,15
Silent Storm,Norway,,Carl Espen,2014,English,88,8
Miracle,Romania,6zq4ocFM1PQ9kSfHFSlgfh,Paula Seling & Ovi,2014,English,72,12
Not Alone,Armenia,,Aram MP3,2014,English,174,4
Moj svijet (Мој свијет),Montenegro,,Sergej Ćetković,2014,Montenegrin,37,19
My Słowianie – We Are Slavic,Poland,,Donatan & Cleo,2014,"Polish, English",62,14
Rise Up,Greece,,Freaky Fortune feat. RiskyKidd,2014,English,35,20
Rise Like a Phoenix,Austria,0fvafkeEoF6Y9gGLK3Wnu3,Conchita Wurst,2014,English,290,1
Is It Right,Germany,2yexaJabgZ6OBOeYSr6JSy,Elaiza,2014,English,39,18
Undo,Sweden,3XhlY1x0LcIyHpZJB1g6WS,Sanna Nielsen,2014,English,218,3
Moustache,France,6ILOO5bZA9x6zanAMO0hKr,TWIN TWIN,2014,French2,2,26
Shine,Russia,,Tolmachevy Sisters,2014,English,89,7
La mia città,Italy,,Emma,2014,Italian3,33,21
Round and Round,Slovenia,7auFOYqKjSmfEYFGEuus8U,Tinkara Kovač,2014,"English, Slovene",9,25
Something Better,Finland,0i99ZWeMYZalyfqFvoj3ob,Softengine,2014,English,72,11
Dancing in the Rain,Spain,3ewuFERsiKOq5noSzJl6Uh,Ruth Lorenzo,2014,"English, Spanish",74,10
Hunter of Stars,Switzerland,5pX8S6xCA08WHIbddDnGRP,Sebalter,2014,English,64,13
Running,Hungary,,András Kállay-Saunders,2014,English,143,5
Coming Home,Malta,0kekgA2kWSWkCoqaeRuxpk,Firelight,2014,English,32,23
Cliché Love Song,Denmark,6r8sLTu4D4k27kmeSoCTzB,Basim,2014,English,74,9
Calm After the Storm,Netherlands,3mWdxSsbIK45Brors2XWR1,The Common Linnets,2014,English,238,2
Maybe,San Marino,,Valentina Monetta,2014,English,14,24
Children of the Universe,United Kingdom,,Molly,2014,English,40,17
Here for You,Slovenia,6xi0LuKiKCnMTndYFamgCc,Maraaya,2015,English,39,14
N'oubliez pas,France,4khNyfoM49usoXWeW8KpL0,Lisa Angell,2015,French,4,25
Golden Boy,Israel,6YWFr8BHQrRL4b7RwuqS36,Nadav Guedj,2015,English,97,9
Goodbye to Yesterday,Estonia,,Elina Born & Stig Rästa,2015,English,106,7
Still in Love with You,United Kingdom,4HtQzcTI6wh3Xjj4fAzz2l,Electro Velvet,2015,English,5,24
Face the Shadow,Armenia,5CQLfHofUitm7Ih1w9plVB,Genealogy,2015,English,34,16
This Time,Lithuania,,Monika Linkytė & Vaidas Baumila,2015,English,30,18
Beauty Never Lies,Serbia,5Rj2hTRHoX4dZB3EQZJmNN,Bojana Stamenov,2015,English,53,10
A Monster Like Me,Norway,,Mørland & Debrah Scarlett,2015,English,102,8
Heroes,Sweden,4ciaNqHWA2IzHphZaVRzHI,Måns Zelmerlöw,2015,English,365,1
One Thing I Should Have Done,Cyprus,2JmRQyQP78XKWlhAK2Yzml,John Karayiannis,2015,English,11,22
Tonight Again,Australia,12tYct92r1ZBh1gw6tYG8p,Guy Sebastian,2015,English,196,5
Rhythm Inside,Belgium,3O2MsMZHCgSbRGEca5ML1N,Loïc Nottet,2015,English,217,4
I Am Yours,Austria,69lMeHeBoAkekQZROdMam2,The Makemakes,2015,English,0,26
One Last Breath,Greece,2fBHIfKDD61I5G10SPBOuJ,Maria Elena Kyriakou,2015,English,23,19
Adio,Montenegro,1xQSkDI6H5L8ZAVnZcHuUf,Knez,2015,Montenegrin,44,13
Black Smoke,Germany,4eYZjo18UFkoShM2pNc7DX,Ann Sophie,2015,English,0,27
In the Name of Love,Poland,3QeIjbfwqVg9xwEKoxzfbN,Monika Kuszyńska,2015,English,10,23
Love Injected,Latvia,1hWgnVgAhxwP2YDLWeh8xh,Aminata,2015,English,186,6
De la capăt,Romania,6Vsw92xvDmHT4OePNoVCZ4,Voltaj,2015,"Romanian, English",35,15
Amanecer,Spain,4ZiMMIaoK9sSI1iQIvHSq8,Edurne,2015,Spanish,15,21
Wars for Nothing,Hungary,1tZjWXMJhOoi8BUeICyEeM,Boggie,2015,English,19,20
Warrior,Georgia,3kqPf4mg6OilhbrOwcaymg,Nina Sublatti,2015,English,51,11
Hour of the Wolf,Azerbaijan,3XhbPuJJG3MlAP2exjHoVy,Elnur Huseynov,2015,English,49,12
A Million Voices,Russia,,Polina Gagarina,2015,English,303,2
I'm Alive,Albania,5dwFtkca9kB0Txtqxsaitl,Elhaida Dani,2015,English,34,17
Grande amore,Italy,4IzDqftkFXUR8G2vaTd3Rb,Il Volo,2015,Italian,292,3
What's the Pressure,Belgium,4d3fHHVvWpwrKK727XE3b1,Laura Tesoro,2016,English,181,10
I Stand,Czech Republic,1rjlAtGiXwrJE8Tpj4lZ40,Gabriela Gunčíková,2016,English,41,25
Slow Down,Netherlands,3YHPxuqHwfYUhoTWoNDwZt,Douwe Bob,2016,English,153,11
Miracle,Azerbaijan,0etFNuOi2EMWBCE9EHJg11,Samra,2016,English,117,17
Pioneer,Hungary,6oedZ02tyJyBbGmMAnpNdR,Freddie,2016,English,108,19
No Degree of Separation,Italy,60hZOS486h0b6nvykyvR7a,Francesca Michielin,2016,"Italian, English",124,16
Made of Stars,Israel,2VdfyGuvpkm8M20swSPT2P,Hovi Star,2016,English,135,14
If Love Was a Crime,Bulgaria,,Poli Genova,2016,"English, Bulgarian",307,4
If I Were Sorry,Sweden,6oDkCmfVcSd9NXAKk1b4Ll,Frans,2016,English,261,5
Ghost,Germany,,Jamie-Lee,2016,English,11,26
J'ai cherché,France,1lzRxwbdl86iJlYMz48KoD,Amir,2016,"French, English",257,6
Color of Your Life,Poland,,Michał Szpak,2016,English,229,8
Sound of Silence,Australia,2b9czDPSLTI88694CIqCy3,Dami Im,2016,English,511,2
Alter Ego,Cyprus,,Minus One,2016,English,96,21
Goodbye (Shelter),Serbia,,Sanja Vučić ZAA,2016,English,115,18
I've Been Waiting for This Night,Lithuania,77vSGrdMLZ3OE5E58J7Svx,Donny Montell,2016,English,200,9
Lighthouse,Croatia,1FIh3B7UJ6UTLiKFJtZnsm,Nina Kraljić,2016,English,73,23
You Are the Only One,Russia,7cVXtwDpck4Kne4Ce8Ge6q,Sergey Lazarev,2016,English,491,3
Say Yay!,Spain,7DtnbNXYrv8ldS4xqA87tT,Barei,2016,English,77,22
Heartbeat,Latvia,5qivjEhzCHwxBZKp9AD9Rb,Justs,2016,English,132,15
1944,Ukraine,2nxTpjhxLXeyBOxYnRnT76,Jamala,2016,"English, Crimean Tatar",534,1
Walk on Water,Malta,6t9ECIs2ypkHQQ49VvhA3h,Ira Losco,2016,English,153,12
Midnight Gold,Georgia,,Nika Kocharov & Young Georgian Lolitaz,2016,English,104,20
Loin d'ici,Austria,1q2LeVE240en0ZMT2PAfYn,Zoë,2016,French,151,13
You're Not Alone,United Kingdom,3IYQ2ZLmZTG5sNiRzbaBp6,Joe and Jake,2016,English,62,24
LoveWave,Armenia,,Iveta Mukuchyan,2016,English,249,7
I Feel Alive,Israel,0uvCOD3I7rr86UEQfXXijF,IMRI,2017,English,39,23
Flashlight,Poland,26D88ZaVe08FKhUrdttd3t,Kasia Moś,2017,English,64,22
Story of My Life,Belarus,,Naviband,2017,Belarusian[e],83,17
Running on Air,Austria,1WpQu8U3quBeGnhpZn0r7N,Nathan Trent,2017,English,93,16
Fly with Me,Armenia,2m3jN95GjlFt51FeE4a55s,Artsvik,2017,English,79,18
Lights and Shadows,Netherlands,,O'G3NE,2017,English,150,11
"Hey, Mamma!",Moldova,4Vik7bcpSZEQLIwCLe5aSx,Sunstroke Project,2017,English,374,3
Origo,Hungary,,Joci Pápai,2017,Hungarian[c],200,8
Occidentali's Karma,Italy,4UPyr3Tep8idtAmisAu1qs,Francesco Gabbani,2017,Italian[f],334,6
Where I Am,Denmark,,Anja,2017,English,77,20
Amar pelos dois,Portugal,3UjSOJ00E1eLMcayBm827Q,Salvador Sobral,2017,Portuguese,758,1
Skeletons,Azerbaijan,4NtcojKRdDC5AL9PtxlAQN,Dihaj,2017,English,120,14
My Friend,Croatia,184cjXwukXedpuWm4Xl6X7,Jacques Houdek,2017,"English, Italian",128,13
Don't Come Easy,Australia,2xI4CmkT6Bl4s5b4qggcgU,Isaiah,2017,English,173,9
This Is Love,Greece,6x508kWYHYLgVIZv6rnufC,Demy,2017,English,77,19
Do It for Your Lover,Spain,1wwcsua0ofpGmmPaTRg1SX,Manel Navarro,2017,"Spanish, English",5,26
Grab the Moment,Norway,,JOWST[d],2017,English,158,10
Never Give Up on You,United Kingdom,67bhFQT17Kh4Z7GkyQHGYG,Lucie Jones,2017,English,111,15
Gravity,Cyprus,36AAM1eXvwuaMMdKmjiEvD,Hovig,2017,English,68,21
Yodel It!,Romania,,Ilinca ft. Alex Florea,2017,English,282,7
Perfect Life,Germany,04yr4MXjMrQZlZlcdqFtgN,Levina,2017,English,6,25
Time,Ukraine,7xzXyOnErZDcgsGlchy4ec,O.Torvald,2017,English,36,24
City Lights,Belgium,5y2jVejsPBdiUOZWQodtbq,Blanche,2017,English,363,4
I Can't Go On,Sweden,715cD5vOTffsOR3MnNYveJ,Robin Bengtsson,2017,English,344,5
Beautiful Mess,Bulgaria,54ibWn7vBabFt6srLwccav,Kristian Kostov,2017,English,615,2
Requiem,France,2cVoJmMLx0uhezvXOIvogS,Alma,2017,"French, English",135,12