Artist,Rank,Song,Year,Country,Points,Language
Jetty Paerl,2,De vogels van Holland,1956,Netherlands,,Dutch
Lys Assia,2,Das alte Karussell,1956,Switzerland,,German
Fud Leclerc,2,Messieurs les noyés de la Seine,1956,Belgium,,French
Walter Andreas Schwarz,2,Im Wartesaal zum großen Glück,1956,Germany,,German
Mathé Altéry,2,Le temps perdu,1956,France,,French
Michèle Arnaud,2,Ne crois pas,1956,Luxembourg,,French
Franca Raimondi,2,Aprite le finestre,1956,Italy,,Italian
Corry Brokken,2,Voorgoed voorbij,1956,Netherlands,,Dutch
Lys Assia,1,Refrain,1956,Switzerland,,French
Mony Marc,2,Le plus beau jour de ma vie,1956,Belgium,,French
Freddy Quinn,2,So geht das jede Nacht,1956,Germany,,German
Dany Dauberson,2,Il est là,1956,France,,French
Michèle Arnaud,2,Les amants de minuit,1956,Luxembourg,,French
Tonina Torrielli,2,Amami se vuoi,1956,Italy,,Italian
Bobbejaan Schoepen,8,Straatdeuntje,1957,Belgium,5,Dutch
Danièle Dupré,4,Amours mortes (tant de peine),1957,Luxembourg,8,French
Patricia Bredin,7,All,1957,United Kingdom,6,English
Nunzio Gallo,6,Corde della mia chitarra,1957,Italy,7,Italian
Bob Martin,10,"Wohin, kleines Pony?",1957,Austria,3,German
Corry Brokken,1,Net als toen,1957,Netherlands,31,Dutch
Margot Hielscher,4,"Telefon, Telefon",1957,Germany,8,German
Paule Desjardins,2,La belle amour,1957,France,17,French
Birthe Wilke & Gustav Winckler,3,Skibet skal sejle i nat,1957,Denmark,10,Danish
Lys Assia,8,L'enfant que j'étais,1957,Switzerland,5,French
Domenico Modugno,3,Nel blu dipinto di blu,1958,Italy,13,Italian
Corry Brokken,9,Heel de wereld,1958,Netherlands,1,Dutch
André Claveau,1,"Dors, mon amour",1958,France,27,French
Solange Berry,9,Un grand amour,1958,Luxembourg,1,French
Alice Babs,4,Lilla stjärna,1958,Sweden,10,Swedish
Raquel Rastenni,8,Jeg rev et blad ud af min dagbog,1958,Denmark,3,Danish
Fud Leclerc,5,Ma petite chatte,1958,Belgium,8,French
Margot Hielscher,7,Für zwei Groschen Musik,1958,Germany,5,German
Liane Augustin,5,Die ganze Welt braucht Liebe,1958,Austria,8,German
Lys Assia,2,Giorgio,1958,Switzerland,24,"German, Italian"
Jean Philippe,3,"Oui, oui, oui, oui",1959,France,15,French
Birthe Wilke,5,"Uh, jeg ville ønske jeg var dig",1959,Denmark,12,Danish
Domenico Modugno,6,"Piove (Ciao, ciao bambina)",1959,Italy,9,Italian
Jacques Pills,11,Mon ami Pierrot,1959,Monaco,1,French
Teddy Scholten,1,Een beetje,1959,Netherlands,21,Dutch
Alice & Ellen Kessler,8,Heute Abend wollen wir tanzen geh'n,1959,Germany,5,German
Brita Borg,9,Augustin,1959,Sweden,4,Swedish
Christa Williams,4,Irgendwoher,1959,Switzerland,14,German
Ferry Graf,9,Der K und K Kalypso aus Wien,1959,Austria,4,German
Pearl Carr & Teddy Johnson,2,"Sing, Little Birdie",1959,United Kingdom,16,English
Bob Benny,6,Hou toch van mij,1959,Belgium,9,Dutch
Bryan Johnson,2,"Looking High, High, High",1960,United Kingdom,25,English
Siw Malmkvist,10,Alla andra får varann,1960,Sweden,4,Swedish
Camillo Felgen,13,So laang we's du do bast,1960,Luxembourg,1,Luxembourgish
Katy Bødtger,10,Det var en yndig tid,1960,Denmark,4,Danish
Fud Leclerc,6,Mon amour pour toi,1960,Belgium,9,French
Nora Brockstedt,4,Voi Voi1,1960,Norway,11,Norwegian
Harry Winter,7,Du hast mich so fasziniert,1960,Austria,6,German
François Deguelt,3,Ce soir-là,1960,Monaco,15,French
Anita Traversi,8,Cielo e terra,1960,Switzerland,5,Italian
Rudi Carrell,12,Wat een geluk,1960,Netherlands,2,Dutch
Wyn Hoop,4,Bonne nuit ma chérie,1960,Germany,11,"German, French"
Renato Rascel,8,Romantica,1960,Italy,5,Italian
Jacqueline Boyer,1,Tom Pillibi,1960,France,32,French
Conchita Bautista,9,Estando contigo,1961,Spain,8,Spanish
Colette Deréal,10,"Allons, allons les enfants",1961,Monaco,6,French
Jimmy Makulis,15,Sehnsucht,1961,Austria,1,German
Laila Kinnunen,10,Valoa ikkunassa,1961,Finland,6,Finnish
Ljiljana Petrović,8,Neke davne zvezde (Неке давне звезде),1961,Yugoslavia,9,Serbian
Greetje Kauffeld,10,Wat een dag,1961,Netherlands,6,Dutch
Lill-Babs,14,"April, april",1961,Sweden,2,Swedish
Lale Andersen,13,Einmal sehen wir uns wieder,1961,Germany,3,"German, French"
Jean-Paul Mauric,4,"Printemps, avril carillonne",1961,France,13,French
Franca di Rienzo,3,Nous aurons demain,1961,Switzerland,16,French
Bob Benny,15,"September, gouden roos",1961,Belgium,1,Dutch
Nora Brockstedt,7,Sommer i Palma,1961,Norway,10,Norwegian
Dario Campeotto,5,Angelique,1961,Denmark,12,Danish
Jean-Claude Pascal,1,Nous les amoureux,1961,Luxembourg,31,French
The Allisons,2,Are You Sure?,1961,United Kingdom,24,English
Betty Curtis,5,Al di là,1961,Italy,12,Italian
Marion Rung,7,Tipi-tii,1962,Finland,4,Finnish
Fud Leclerc,13,Ton nom,1962,Belgium,0,French
Victor Balaguer,13,Llámame,1962,Spain,0,Spanish
Eleonore Schwarz,13,Nur in der Wiener Luft,1962,Austria,0,German
Ellen Winther,10,Vuggevise,1962,Denmark,2,Danish
Inger Berggren,7,Sol och vår,1962,Sweden,4,Swedish
Conny Froboess,6,Zwei kleine Italiener,1962,Germany,9,German
De Spelbrekers,13,Katinka,1962,Netherlands,0,Dutch
Isabelle Aubret,1,Un premier amour,1962,France,26,French
Inger Jacobsen,10,"Kom sol, kom regn",1962,Norway,2,Norwegian
Jean Philippe,10,Le retour,1962,Switzerland,2,French
Lola Novaković,4,Ne pali svetla u sumrak (Не пали светла у сумрак),1962,Yugoslavia,10,Serbian
Ronnie Carroll,4,Ring-A-Ding Girl,1962,United Kingdom,10,English
Camillo Felgen,3,Petit bonhomme,1962,Luxembourg,11,French
Claudio Villa,9,"Addio, addio",1962,Italy,3,Italian
François Deguelt,2,Dis rien,1962,Monaco,13,French
Ronnie Carroll,4,Say Wonderful Things,1963,United Kingdom,28,English
Annie Palmen,13,Een speeldoos,1963,Netherlands,0,Dutch
Heidi Brühl,9,Marcel,1963,Germany,5,German
Carmela Corren,7,Vielleicht geschieht ein Wunder,1963,Austria,16,"German, English"
Anita Thallaug,13,Solhverv,1963,Norway,0,Norwegian
Emilio Pericoli,3,Uno per tutte,1963,Italy,37,Italian
Laila Halme,13,Muistojeni laulu,1963,Finland,0,Finnish
Grethe & Jørgen Ingmann,1,Dansevise,1963,Denmark,42,Danish
Vice Vukov,11,Brodovi,1963,Yugoslavia,3,Croatian
Esther Ofarim,2,T'en va pas,1963,Switzerland,40,French
Alain Barrière,5,Elle était si jolie,1963,France,25,French
José Guardiola,12,Algo prodigioso,1963,Spain,2,Spanish
Monica Zetterlund,13,En gång i Stockholm,1963,Sweden,0,Swedish
Jacques Raymond,10,Waarom?,1963,Belgium,4,Dutch
Françoise Hardy,5,L'amour s'en va,1963,Monaco,25,French
Nana Mouskouri,8,À force de prier,1963,Luxembourg,13,French
Hugues Aufray,4,Dès que le printemps revient,1964,Luxembourg,14,French
Anneke Grönloh,10,Jij bent mijn leven,1964,Netherlands,2,Dutch
Arne Bendiksen,8,Spiral,1964,Norway,6,Norwegian
Bjørn Tidmand,9,Sangen om dig,1964,Denmark,4,Danish
Lasse Mårtenson,7,Laiskotellen,1964,Finland,9,Finnish
Udo Jürgens,6,"Warum nur, warum?",1964,Austria,11,German
Rachel,4,Le chant de Mallory,1964,France,14,French
Matt Monro,2,I Love the Little Things,1964,United Kingdom,17,English
Nora Nova,13,Man gewöhnt sich so schnell an das Schöne,1964,Germany,0,German
Romuald,3,Où sont-elles passées,1964,Monaco,15,French
António Calvário,13,Oração,1964,Portugal,0,Portuguese
Gigliola Cinquetti,1,Non ho l'età,1964,Italy,49,Italian
Sabahudin Kurt,13,Život je sklopio krug,1964,Yugoslavia,0,Bosnian
Anita Traversi,13,I miei pensieri,1964,Switzerland,0,Italian
Robert Cogoi,10,Près de ma rivière,1964,Belgium,2,French
Los TNT,12,Caracola,1964,Spain,1,Spanish
Conny van den Bos,11,'t Is genoeg,1965,Netherlands,5,Dutch
Kathy Kirby,2,I Belong,1965,United Kingdom,26,English
Conchita Bautista,15,"¡Qué bueno, qué bueno!",1965,Spain,0,Spanish
Butch Moore,6,Walking the Streets in the Rain,1965,Ireland,11,English
Ulla Wiesner,15,"Paradies, wo bist du?",1965,Germany,0,German
Udo Jürgens,4,"Sag ihr, ich lass sie grüßen",1965,Austria,16,German
Kirsti Sparboe,13,Karusell,1965,Norway,1,Norwegian
Lize Marke,15,Als het weer lente is,1965,Belgium,0,Dutch
Marjorie Noël,9,Va dire à l'amour,1965,Monaco,7,French
Ingvar Wixell,10,Absent Friend,1965,Sweden,6,English
Guy Mardel,3,N'avoue jamais,1965,France,22,French
Simone de Oliveira,13,Sol de inverno,1965,Portugal,1,Portuguese
Bobby Solo,5,"Se piangi, se ridi",1965,Italy,15,Italian
Birgit Brüel,7,For din skyld,1965,Denmark,10,Danish
France Gall,1,"Poupée de cire, poupée de son",1965,Luxembourg,32,French
Viktor Klimenko,15,Aurinko laskee länteen,1965,Finland,0,Finnish
Vice Vukov,12,Čežnja,1965,Yugoslavia,2,Croatian
Yovanna,8,"Non, à jamais sans toi",1965,Switzerland,8,French
Margot Eskens,10,Die Zeiger der Uhr,1966,Germany,7,German
Ulla Pia,14,Stop – mens legen er go',1966,Denmark,4,Danish
Tonia,4,"Un peu de poivre, un peu de sel",1966,Belgium,14,French
Michèle Torr,10,Ce soir je t'attendais,1966,Luxembourg,7,French
Berta Ambrož,7,Brez besed,1966,Yugoslavia,9,Slovene
Åse Kleveland,3,Intet er nytt under solen,1966,Norway,15,Norwegian
Ann Christine,10,Playboy,1966,Finland,7,Finnish
Madalena Iglésias,13,Ele e ela,1966,Portugal,6,Portuguese
Udo Jürgens,1,"Merci, Chérie",1966,Austria,31,German1
Lill Lindfors & Svante Thuresson,2,Nygammal vals,1966,Sweden,16,Swedish
Raphael,7,Yo soy aquél,1966,Spain,9,Spanish
Madeleine Pascal,6,Ne vois-tu pas?,1966,Switzerland,12,French
Téréza,17,Bien plus fort,1966,Monaco,0,French
Domenico Modugno,17,"Dio, come ti amo",1966,Italy,0,Italian
Dominique Walter,16,Chez nous,1966,France,1,French
Milly Scott,15,Fernando en Filippo,1966,Netherlands,2,Dutch
Dickie Rock,4,Come Back to Stay,1966,Ireland,14,English
Kenneth McKellar,9,A Man Without Love,1966,United Kingdom,8,English
Thérèse Steinmetz,14,Ring-dinge-ding,1967,Netherlands,2,Dutch
Vicky Leandros,4,L'amour est bleu,1967,Luxembourg,17,French
Peter Horton,14,Warum es hunderttausend Sterne gibt,1967,Austria,2,German
Noëlle Cordier,3,Il doit faire beau là-bas,1967,France,20,French
Eduardo Nascimento,12,O vento mudou,1967,Portugal,3,Portuguese
Géraldine,17,Quel cœur vas-tu briser?,1967,Switzerland,0,French
Östen Warnerbring,8,Som en dröm,1967,Sweden,7,Swedish
Fredi,12,Varjoon – suojaan,1967,Finland,3,Finnish
Inge Brück,8,Anouschka,1967,Germany,7,German
Louis Neefs,7,Ik heb zorgen,1967,Belgium,8,Dutch
Sandie Shaw,1,Puppet on a String,1967,United Kingdom,47,English
Raphael,6,Hablemos del amor,1967,Spain,9,Spanish
Kirsti Sparboe,14,Dukkemann,1967,Norway,2,Norwegian
Minouche Barelli,5,Boum-Badaboum,1967,Monaco,10,French
Lado Leskovar,8,Vse rože sveta,1967,Yugoslavia,7,Slovene
Claudio Villa,11,Non andare più lontano,1967,Italy,4,Italian
Sean Dunphy,2,If I Could Choose,1967,Ireland,22,English
Carlos Mendes,11,Verão,1968,Portugal,5,Portuguese
Ronnie Tober,16,Morgen,1968,Netherlands,1,Dutch
Claude Lombard,7,Quand tu reviendras,1968,Belgium,8,French
Karel Gott,13,Tausend Fenster,1968,Austria,2,German
Chris Baldo & Sophie Garel,11,Nous vivrons d'amour,1968,Luxembourg,5,French
Gianni Mascolo,13,Guardando il sole,1968,Switzerland,2,Italian
Line & Willy,7,À chacun sa chanson,1968,Monaco,8,French
Claes-Göran Hederström,5,"Det börjar verka kärlek, banne mej",1968,Sweden,15,Swedish
Kristina Hautala,16,Kun kello käy,1968,Finland,1,Finnish
Isabelle Aubret,3,La source,1968,France,20,French
Sergio Endrigo,10,Marianne,1968,Italy,7,Italian
Cliff Richard,2,Congratulations,1968,United Kingdom,28,English
Odd Børre,13,Stress,1968,Norway,2,Norwegian
Pat McGuigan,4,Chance of a Lifetime,1968,Ireland,18,English
Massiel,1,"La, la, la",1968,Spain,29,Spanish
Wenche Myhre,6,Ein Hoch der Liebe,1968,Germany,11,German
Dubrovački trubaduri,7,Jedan dan,1968,Yugoslavia,8,Croatian
Ivan & 4M,13,Pozdrav svijetu,1969,Yugoslavia,5,Croatian
Romuald,11,Catherine,1969,Luxembourg,7,French
Salomé,1,Vivo cantando,1969,Spain,18,Spanish
Jean Jacques,6,"Maman, Maman",1969,Monaco,11,French
Muriel Day & The Lindsays,7,The Wages of Love,1969,Ireland,10,English
Iva Zanicchi,13,Due grosse lacrime bianche,1969,Italy,5,Italian
Lulu,1,Boom Bang-a-Bang,1969,United Kingdom,18,English
Lenny Kuhr,1,De troubadour,1969,Netherlands,18,Dutch
Tommy Körberg,9,"Judy, min vän",1969,Sweden,8,Swedish
Louis Neefs,7,Jennifer Jennings,1969,Belgium,10,Dutch
Paola Del Medico,5,"Bonjour, Bonjour",1969,Switzerland,13,German
Kirsti Sparboe,16,"Oj, oj, oj, så glad jeg skal bli",1969,Norway,1,Norwegian
Siw Malmkvist,9,Primaballerina,1969,Germany,8,German
Frida Boccara,1,"Un jour, un enfant",1969,France,18,French
Simone de Oliveira,15,Desfolhada portuguesa,1969,Portugal,4,Portuguese
Jarkko & Laura,12,Kuin silloin ennen,1969,Finland,6,Finnish
Hearts of Soul,7,Waterman,1970,Netherlands,7,Dutch
Henri Dès,4,Retour,1970,Switzerland,8,French
Gianni Morandi,8,Occhi di ragazza,1970,Italy,5,Italian
Eva Sršen,11,"Pridi, dala ti bom cvet",1970,Yugoslavia,4,Slovene
Jean Vallée,8,Viens l'oublier,1970,Belgium,5,French
Guy Bonnet,4,Marie-Blanche,1970,France,8,French
Mary Hopkin,2,"Knock, Knock Who's There?",1970,United Kingdom,26,English
David Alexandre Winter,12,Je suis tombé du ciel,1970,Luxembourg,0,French
Julio Iglesias,4,Gwendolyne,1970,Spain,8,Spanish
Dominique Dussault,8,Marlène,1970,Monaco,5,French
Katja Ebstein,3,Wunder gibt es immer wieder,1970,Germany,12,German
Dana,1,All Kinds of Everything,1970,Ireland,32,English
Marianne Mendt,16,Musik,1971,Austria,66,Viennese
Joe Grech,18,Marija l-Maltija,1971,Malta,52,Maltese
Séverine,1,"Un banc, un arbre, une rue",1971,Monaco,128,French
"Peter, Sue and Marc",12,Les illusions de nos vingt ans,1971,Switzerland,78,French
Katja Ebstein,3,Diese Welt,1971,Germany,100,German
Karina,2,En un mundo nuevo,1971,Spain,116,Spanish
Serge Lama,10,Un jardin sur la terre,1971,France,82,French
Monique Melsen,13,"Pomme, pomme, pomme",1971,Luxembourg,70,French
Clodagh Rodgers,4,Jack In The Box,1971,United Kingdom,98,English
Lily Castel & Jacques Raymond,14,"Goeiemorgen, morgen",1971,Belgium,68,Dutch
Massimo Ranieri,5,L'amore è un attimo,1971,Italy,91,Italian
Family Four,6,Vita vidder,1971,Sweden,85,Swedish
Angela Farrell,11,One Day Love,1971,Ireland,79,English
Saskia & Serge,6,Tijd,1971,Netherlands,85,Dutch
Tonicha,9,Menina do alto da serra,1971,Portugal,83,Portuguese
Krunoslav Slabinac,14,Tvoj dječak je tužan,1971,Yugoslavia,68,Croatian
Markku Aro & Koivistolaiset,8,Tie uuteen päivään,1971,Finland,84,Finnish
Hanne Krogh,17,Lykken er,1971,Norway,65,Norwegian
Mary Roos,3,Nur die Liebe läßt uns leben,1972,Germany,107,German
Betty Mars,11,Comé-comédie,1972,France,81,French
Sandie Jones,15,Ceol an Ghrá,1972,Ireland,72,Irish
Jaime Morey,10,Amanece,1972,Spain,83,Spanish
The New Seekers,2,"Beg, Steal or Borrow",1972,United Kingdom,114,English
Grethe Kausland & Benny Borg,14,Småting,1972,Norway,73,Norwegian
Carlos Mendes,7,A festa da vida,1972,Portugal,90,Portuguese
Véronique Müller,8,C'est la chanson de mon amour,1972,Switzerland,88,French
Helen and Joseph,18,L-imħabba,1972,Malta,48,Maltese
Päivi Paunu & Kim Floor,12,Muistathan,1972,Finland,78,Finnish
Milestones,5,Falter im Wind,1972,Austria,100,German
Nicola di Bari,6,I giorni dell'arcobaleno,1972,Italy,92,Italian
Tereza Kesovija,9,Muzika i ti,1972,Yugoslavia,87,Serbo-Croatian
Family Four,13,Härliga sommardag,1972,Sweden,75,Swedish
Anne-Marie Godart & Peter MacLane,16,Comme on s'aime,1972,Monaco,65,French
Serge & Christine Ghisoland,17,À la folie ou pas du tout,1972,Belgium,55,French
Vicky Leandros,1,Après toi,1972,Luxembourg,128,French
Sandra & Andres,4,Als het om de liefde gaat,1972,Netherlands,106,Dutch
Marion Rung,6,Tom Tom Tom,1973,Finland,93,English
Nicole & Hugo,17,"Baby, Baby",1973,Belgium,58,Dutch1
Fernando Tordo,10,Tourada,1973,Portugal,80,Portuguese
Gitte,8,Junger Tag,1973,Germany,85,German
Bendik Singers,7,It's Just A Game,1973,Norway,89,"English, French2"
Marie,8,Un train qui part,1973,Monaco,85,French
Mocedades,2,Eres tú,1973,Spain,125,Spanish
Patrick Juvet,12,"Je vais me marier, Marie",1973,Switzerland,79,French
Zdravko Čolić,15,Gori vatra,1973,Yugoslavia,65,Serbo-Croatian
Massimo Ranieri,13,Chi sarà con te,1973,Italy,74,Italian
Anne-Marie David,1,Tu te reconnaîtras,1973,Luxembourg,129,French
Nova & The Dolls,5,You're Summer,1973,Sweden,94,English
Ben Cramer,14,De oude muzikant,1973,Netherlands,69,Dutch
Maxi,10,Do I Dream,1973,Ireland,80,English
Cliff Richard,3,Power to All Our Friends,1973,United Kingdom,123,English
Martine Clémenceau,15,Sans toi,1973,France,65,French
Ilanit,4,Ey Sham (אי שם),1973,Israel,97,Hebrew
Carita,13,Keep Me Warm,1974,Finland,4,English
Olivia Newton-John,4,Long Live Love,1974,United Kingdom,14,English
Peret,9,Canta y sé feliz,1974,Spain,10,Spanish
Anne-Karine Strøm feat. Bendik Singers,14,The First Day of Love,1974,Norway,3,English
Marinella,11,"Krasi, thalassa ke t' agori mou
(Κρασί, θάλασσα και τ' αγόρι μου)",1974,Greece,7,Greek
Kaveret,7,Natati La Khayay (נתתי לה חיי),1974,Israel,11,Hebrew
Korni Grupa,12,Generacija '42 (Генерација '42),1974,Yugoslavia,6,Serbian
ABBA,1,Waterloo,1974,Sweden,24,English
Ireen Sheer,4,Bye Bye I Love You,1974,Luxembourg,14,Frencha
Romuald,4,Celui qui reste et celui qui s'en va,1974,Monaco,14,French
Jacques Hustin,9,Fleur de liberté,1974,Belgium,10,French
Mouth & MacNeal,3,I See a Star,1974,Netherlands,15,English
Tina Reynolds,7,Cross Your Heart,1974,Ireland,11,English
Cindy & Bert,14,Die Sommermelodie,1974,Germany,3,German
Piera Martell,14,Mein Ruf nach dir,1974,Switzerland,3,German
Paulo de Carvalho,14,E depois do adeus,1974,Portugal,3,Portuguese
Gigliola Cinquetti,2,Sì,1974,Italy,18,Italian
Teach-In,1,Ding-a-dong,1975,Netherlands,152,English
The Swarbriggs,9,That's What Friends Are For,1975,Ireland,68,English
Nicole Rieu,4,Et bonjour à toi l'artiste,1975,France,91,French
Joy Fleming,17,Ein Lied kann eine Brücke sein,1975,Germany,15,"German, English"
Geraldine,5,Toi,1975,Luxembourg,84,French
Ellen Nikolaysen,18,Touch My Life (With Summer),1975,Norway,11,English
Simone Drexel,6,Mikado,1975,Switzerland,77,German
Pepel in kri,13,Dan ljubezni,1975,Yugoslavia,22,Slovene
The Shadows,2,Let Me Be The One,1975,United Kingdom,138,English
Renato,12,Singing This Song,1975,Malta,32,English
Ann Christy,15,Gelukkig zijn,1975,Belgium,17,"Dutch, English"
Shlomo Artzi,11,At Va'Ani (את ואני),1975,Israel,40,Hebrew
Semiha Yankı,19,Seninle Bir Dakika,1975,Turkey,3,Turkish
Sophie,13,Une chanson c'est une lettre,1975,Monaco,22,French
Pihasoittajat,7,Old Man Fiddle,1975,Finland,74,English
Duarte Mendes,16,Madrugada,1975,Portugal,16,Portuguese
Sergio & Estíbaliz,10,Tú volverás,1975,Spain,53,Spanish
Lasse Berghagen,8,"Jennie, Jennie",1975,Sweden,72,English
Wess & Dori Ghezzi,3,Era,1975,Italy,115,Italian
Brotherhood of Man,1,Save Your Kisses for Me,1976,United Kingdom,164,English
"Peter, Sue and Marc",4,"Djambo, Djambo",1976,Switzerland,91,English
