Artist,Rank,Song,Year,Country,Points,Language
Jakob Sveistrup,9,Talking to You,2005,Denmark,125,English
Martin Stenmarck,19,Las Vegas,2005,Sweden,30,English
Martin Vučić,17,Make My Day,2005,Macedonia,52,English
GreenJolly,19,Razom nas bahato (Разом нас багато),2005,Ukraine,30,"Ukrainian, English1"
Gracia,24,Run and Hide,2005,Germany,4,English
Boris Novković feat. Lado Members,11,Vukovi umiru sami,2005,Croatia2,115,Croatian
Helena Paparizou,1,My Number One,2005,Greece,230,English
Natalia Podolskaya,15,Nobody Hurt No One,2005,Russia,57,English
Feminnem,14,Call Me,2005,Bosnia and Herzegovina,79,English
Vanilla Ninja,8,Cool Vibes,2005,Switzerland,128,English
Walters & Kazha,5,The War Is Not Over,2005,Latvia,153,English
Ortal,23,Chacun pense à soi,2005,France,11,French
six4one,16,If We All Give a Little,2006,Switzerland,30,English
Arsenium feat. Natalia Gordienko,20,Loca,2006,Moldova,22,English3
Eddie Butler,23,Together We Are One,2006,Israel,4,"Hebrew, English"
Vocal Group Cosmos,16,I Hear Your Heart,2006,Latvia,30,English
Christine Guldbrandsen,14,Alvedansen,2006,Norway,36,Norwegian
Las Ketchup,21,Un Blodymary,2006,Spain,18,Spanish
Fabrizio Faniello,24,I Do,2006,Malta,1,English
Texas Lightning,14,No No Never,2006,Germany,36,English
Sidsel Ben Semmane,18,Twist of Love,2006,Denmark,26,English
Dima Bilan,2,Never Let You Go,2006,Russia,248,English
Elena Risteska,12,Ninanajna (Нинанајна),2006,Macedonia,56,"English, Macedonian"
Mihai Trăistariu,4,Tornerò,2006,Romania,172,"English, Italian"
Hari Mata Hari,3,Lejla,2006,Bosnia and Herzegovina,229,Bosnian
LT United,6,We Are the Winners,2006,Lithuania,162,English2
Daz Sampson,19,Teenage Life,2006,United Kingdom,25,English
Anna Vissi,9,Everything,2006,Greece,128,English
Lordi,1,Hard Rock Hallelujah,2006,Finland,292,English
Tina Karol,7,Show Me Your Love,2006,Ukraine,145,English
Virginie Pouchain,22,Il était temps,2006,France,5,French
Severina,12,Moja štikla,2006,Croatia,56,Croatian
Brian Kennedy,10,Every Song Is a Cry for Love,2006,Ireland,93,English
Carola,5,Invincible,2006,Sweden,170,English
Sibel Tüzün,11,Süper Star,2006,Turkey,91,"Turkish, English"
André,8,Without Your Love,2006,Armenia,129,English
Marija Šestić,11,Rijeka bez imena (Ријека без имена),2007,Bosnia and Herzegovina,106,Serbian
D'NASH,20,I Love You Mi Vida,2007,Spain,43,Spanish3
Dmitry Koldun,6,Work Your Magic,2007,Belarus,145,English
Dervish,24,They Can't Stop the Spring,2007,Ireland,5,English
Hanna Pakarinen,17,Leave Me Alone,2007,Finland,53,English
Karolina,14,Mojot svet (Мојот свет),2007,Macedonia,73,"Macedonian, English"
Alenka Gotar,15,Cvet z juga,2007,Slovenia,66,Slovene
Magdi Rúzsa,9,Unsubstantial Blues,2007,Hungary,128,English
4Fun,21,Love or Leave,2007,Lithuania,28,English
Sarbel,7,Yassou Maria (Γεια σου Μαρία),2007,Greece,139,English
Sopho,12,Visionary Dream,2007,Georgia,97,English
The Ark,18,The Worrying Kind,2007,Sweden,51,English
Les Fatals Picards,22[9],L'amour à la française,2007,France,19,"French, English (""Franglais"")"
Bonaparti.lv,16,Questa notte,2007,Latvia,54,Italian
Serebro,3,Song #1,2007,Russia,207,English
Roger Cicero,19,Frauen regier'n die Welt,2007,Germany,49,"German, English"
Marija Šerifović,1,Molitva (Молитва),2007,Serbia,268,Serbian
Verka Serduchka,2,Dancing Lasha Tumbai (Dancing Лаша Тумбай),2007,Ukraine,235,"German, English, Ukrainian"
Scooch,22,Flying the Flag (For You),2007,United Kingdom,19,English
Todomondo,13,"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",2007,Romania,84,"English, Italian, Spanish,
Russian, French, Romanian"
Elitsa Todorova & Stoyan Yankoulov,5,Water,2007,Bulgaria,157,Bulgarian
Kenan Doğulu,4,Shake It Up Şekerim,2007,Turkey,163,English
Hayko,8,Anytime You Need,2007,Armenia,138,"English, Armenian"
Natalia Barbu,10,Fight,2007,Moldova,109,English
Nico and Vlad,20 !20,Pe-o margine de lume,2008,Romania,45,"Romanian, Italian"
Andy Abraham,25 !25 [D],Even If,2008,United Kingdom,14,English
Olta Boka,17 !17,Zemrën e lamë peng,2008,Albania,55,Albanian
No Angels,23 !23 [D],Disappear,2008,Germany,14,English
Sirusho,04 !4,"Qélé, Qélé (Քելե Քելե)",2008,Armenia,199,"English, Armenian"
Laka,10 !10,Pokušaj,2008,Bosnia and Herzegovina,110,Bosnian
Boaz Ma'uda,09 !9,The Fire in Your Eyes,2008,Israel,124,"Hebrew, English"
Teräsbetoni,22 !22,Missä miehet ratsastaa,2008,Finland,35,Finnish
Kraljevi Ulice and 75 cents,21 !21,Romanca,2008,Croatia,44,Croatian
Isis Gee,24 !24 [D],For Life,2008,Poland,14,English
Euroband,14 !14,This Is My Life,2008,Iceland,64,English
Mor ve Ötesi,07 !7,Deli,2008,Turkey,138,Turkish
Vânia Fernandes,13 !13,Senhora do mar (Negras águas),2008,Portugal,69,Portuguese
Pirates of the Sea,12 !12,Wolves of the Sea,2008,Latvia,83,English
Charlotte Perrelli,18 !18,Hero,2008,Sweden,47,English
Simon Mathew,15 !15,All Night Long,2008,Denmark,60,English
Diana Gurtskaya,11 !11,Peace Will Come,2008,Georgia,83,English
Ani Lorak,02 !2,Shady Lady,2008,Ukraine,230,English
Sébastien Tellier,19 !19,Divine,2008,France,47,"English, French"
Elnur and Samir,08 !8,Day After Day,2008,Azerbaijan,132,English
Kalomira,03 !3,Secret Combination,2008,Greece,218,English
Rodolfo Chikilicuatre,16 !16,Baila el Chiki-chiki,2008,Spain,55,"Spanish, English"
Jelena Tomašević feat. Bora Dugić,06 !6,Oro (Оро),2008,Serbia,160,Serbian
Dima Bilan,01 !1,Believe,2008,Russia,272,English
Maria Haukaas Storeng,05 !5,Hold On Be Strong,2008,Norway,182,English
Sasha Son,23,Love,2009,Lithuania,23,"English, Russian"
Noa and Mira Awad,16,There Must Be Another Way,2009,Israel,53,"English, Hebrew, Arabic"
Patricia Kaas,8,Et s'il fallait le faire,2009,France,107,French
Malena Ernman,21,La voix,2009,Sweden,33,"French, English"
Igor Cukrov feat. Andrea,18,Lijepa Tena,2009,Croatia,45,Croatian
Flor-de-Lis,15,Todas as ruas do amor,2009,Portugal,57,Portuguese
Yohanna[69],2,Is It True?,2009,Iceland,218,English
Sakis Rouvas,7,This Is Our Night,2009,Greece,120,English
Inga and Anush,10,Jan Jan (Ջան Ջան),2009,Armenia,92,"English, Armenian"
Anastasiya Prikhodko,11,Mamo (Мамо),2009,Russia,91,"Russian, Ukrainian"
AySel and Arash[74],3,Always,2009,Azerbaijan,207,English
Regina,9,Bistra voda,2009,Bosnia and Herzegovina,106,Bosnian[70][71]
Nelly Ciobanu,14,Hora din Moldova,2009,Moldova,69,"Romanian, English"
Chiara,22,What If We,2009,Malta,31,English
Urban Symphony,6,Rändajad,2009,Estonia,129,Estonian
Niels Brinck,13,Believe Again,2009,Denmark,74,English
Alex Swings Oscar Sings![75],20,Miss Kiss Kiss Bang,2009,Germany,35,English
Hadise,4,Düm Tek Tek,2009,Turkey,177,English
Kejsi Tola,17,Carry Me in Your Dreams,2009,Albania,48,English
Alexander Rybak,01 !1,Fairytale,2009,Norway,387,English
Svetlana Loboda,12,Be My Valentine,2009,Ukraine,76,English
Elena,19,The Balkan Girls,2009,Romania,40,English
Jade Ewen,5,It's My Time,2009,United Kingdom,173,English
Waldo's People,25,Lose Control,2009,Finland,22,English
Soraya Arnelas,24,La noche es para mí,2009,Spain,23,Spanish
Safura,5,Drip Drop,2010,Azerbaijan,145,English
Daniel Diges,15,Algo Pequeñito,2010,Spain,68,Spanish
Didrik Solli-Tangen,20,My Heart Is Yours,2010,Norway,35,English
SunStroke Project and Olia Tira,22,Run Away,2010,Moldova,27,English
Jon Lilygreen and The Islanders,21,Life Looks Better in Spring,2010,Cyprus,27,English
Vukašin Brajić,17,Thunder and Lightning,2010,Bosnia and Herzegovina,51,English
Tom Dice,6,Me and My Guitar,2010,Belgium,143,English
Milan Stanković,13,Ovo je Balkan (Oво je Балкан),2010,Serbia,72,Serbian
3+2 feat Robert Wells,24,Butterflies,2010,Belarus,18,English
Niamh Kavanagh,23,It's for You,2010,Ireland,25,English
Giorgos Alkaios and Friends,8,OPA (ΩΠΑ),2010,Greece,140,Greek1
Josh Dubovie,25,That Sounds Good to Me,2010,United Kingdom,10,English
Sofia Nizharadze,9,Shine,2010,Georgia,136,English
maNga,2,We Could Be the Same,2010,Turkey,170,English
Juliana Pasha,16,It's All About You,2010,Albania,62,English
Hera Björk,19,Je ne sais quoi,2010,Iceland,41,English
Alyosha,10,Sweet People,2010,Ukraine,108,English
Jessy Matador,12,Allez Ola Olé,2010,France,82,French
Paula Seling and Ovi,3,Playing with Fire,2010,Romania,162,English
Peter Nalitch and Friends,11,Lost and Forgotten,2010,Russia,90,English
Eva Rivas,7,Apricot Stone,2010,Armenia,141,English
Lena,1,Satellite,2010,Germany,246,English
Filipa Azevedo,18,Há dias assim,2010,Portugal,43,Portuguese
Harel Skaat,14,Milim (מילים),2010,Israel,71,Hebrew
Chanée and N'evergreen,4,In a Moment Like This,2010,Denmark,149,English
Paradise Oskar,21,Da Da Dam,2011,Finland,57,English
Dino Merlin,6,Love in Rewind,2011,Bosnia and Herzegovina,125,"English, Bosnian"
A Friend in London,5,New Tomorrow,2011,Denmark,134,English
Evelina Sašenko,19,C'est ma vie,2011,Lithuania,63,English1
Kati Wolf,22,What About My Dreams?,2011,Hungary,53,"English, Hungarian"
Jedward,8,Lipstick,2011,Ireland,119,English
Eric Saade,3,Popular,2011,Sweden,185,English
Getter Jaani,24,Rockefeller Street,2011,Estonia,44,English
Loukas Giorkas feat. Stereo Mike,7,Watch My Dance,2011,Greece,120,"English, Greek"
Alexey Vorobyov,16,Get You,2011,Russia,77,"English, Russian"
Amaury Vassili,15,Sognu,2011,France,82,Corsican
Raphael Gualazzi,2,Madness of Love,2011,Italy,189,"Italian, English"
Anna Rossinelli,25,In Love for a While,2011,Switzerland,19,English
Blue,11,I Can,2011,United Kingdom,100,English
Zdob şi Zdub,12,So Lucky,2011,Moldova,97,English
Lena,10,Taken by a Stranger,2011,Germany,107,English
Hotel FM,17,Change,2011,Romania,77,English
Nadine Beiler,18,The Secret Is Love,2011,Austria,64,English
Ell & Nikki,1,Running Scared,2011,Azerbaijan,221,English
Maja Keuc,13,No One,2011,Slovenia,96,English
Sjonni's Friends,20,Coming Home,2011,Iceland,61,English
Lucía Pérez,23,Que me quiten lo bailao,2011,Spain,50,Spanish
Mika Newton,4,Angel,2011,Ukraine,159,English
Nina,14,Čaroban (Чаробан),2011,Serbia,85,Serbian
Eldrine,9,One More Day,2011,Georgia,110,English
Engelbert Humperdinck,25,Love Will Set You Free,2012,United Kingdom,12,English
Compact Disco,24,Sound of Our Hearts,2012,Hungary,19,English
Rona Nishliu,5,Suus3,2012,Albania,146,Albanian
Donny Montell,14,Love Is Blind,2012,Lithuania,70,English
Maya Sar,18,Korake ti znam,2012,Bosnia and Herzegovina,55,Bosnian
Buranovskiye Babushki,2,Party for Everybody,2012,Russia,259,"Udmurt, English"
Greta Salóme and Jónsi,20,Never Forget,2012,Iceland,46,English
Ivi Adamou,16,La La Love,2012,Cyprus,65,English
Anggun,22,Echo (You and I),2012,France,21,"French, English"
Nina Zilli,9,L'amore è femmina (Out of Love),2012,Italy,101,"English, Italian"
Ott Lepland,6,Kuula,2012,Estonia,120,Estonian
Tooji,26,Stay,2012,Norway,7,English
Sabina Babayeva,4,When the Music Dies,2012,Azerbaijan,150,English
Mandinga,12,Zaleilah,2012,Romania,71,"Spanish, English"
Soluna Samay,23,Should've Known Better,2012,Denmark,21,English
Eleftheria Eleftheriou,17,Aphrodisiac,2012,Greece,64,English
Loreen,1,Euphoria,2012,Sweden,372,English
Can Bonomo,7,Love Me Back,2012,Turkey,112,English
Pastora Soler,10,Quédate conmigo,2012,Spain,97,Spanish
Roman Lob,8,Standing Still,2012,Germany,110,English
Kurt Calleja,21,This Is the Night,2012,Malta,41,English
Kaliopi,13,Crno i belo (Црно и бело),2012,Macedonia,71,Macedonian
Jedward,19,Waterline,2012,Ireland,46,English
Željko Joksimović,3,Nije ljubav stvar (Није љубав ствар),2012,Serbia,214,Serbian
Gaitana,15,Be My Guest,2012,Ukraine,65,English
Pasha Parfeny,11,Lăutar,2012,Moldova,81,English7
Amandine Bourgeois,23,L'enfer et moi,2013,France,14,French
Andrius Pojavis,22,Something,2013,Lithuania,17,English
Aliona Moon,11,O mie,2013,Moldova,71,Romanian
Krista Siegfrids,24,Marry Me,2013,Finland,13,English
ESDM,25,Contigo hasta el final,2013,Spain,8,Spanish2
Roberto Bellarosa,12,Love Kills,2013,Belgium,71,English
Birgit,20,Et uus saaks alguse,2013,Estonia,19,Estonian
Alyona Lanskaya,16,Solayoh,2013,Belarus,48,English
Gianluca,8,Tomorrow,2013,Malta,120,English
Dina Garipova,5,What If,2013,Russia,174,English
Cascada,21,Glorious,2013,Germany,18,English
Dorians,18,Lonely Planet,2013,Armenia,41,English
Anouk,9,Birds,2013,Netherlands,114,English
Cezar,13,It's My Life,2013,Romania,65,English
Bonnie Tyler,19,Believe in Me,2013,United Kingdom,23,English
Robin Stjernberg,14,You,2013,Sweden,62,English
ByeAlex,10,Kedvesem (Zoohacker Remix),2013,Hungary,84,Hungarian
Emmelie de Forest,1,Only Teardrops,2013,Denmark,281,English
Eythor Ingi,17,Ég á líf,2013,Iceland,47,Icelandic
Farid Mammadov,2,Hold Me,2013,Azerbaijan,234,English
Koza Mostra feat. Agathon Iakovidis,6,Alcohol Is Free,2013,Greece,152,Greek1
Zlata Ognevich,3,Gravity,2013,Ukraine,214,English
Marco Mengoni,7,L'essenziale,2013,Italy,126,Italian
Margaret Berger,4,I Feed You My Love,2013,Norway,191,English
Nodi Tatishvili and Sophie Gelovani,15,Waterfall,2013,Georgia,50,English
Ryan Dolan,26,Only Love Survives,2013,Ireland,5,English
Mariya Yaremchuk,6,Tick-Tock,2014,Ukraine,113,English
Teo,16,Cheesecake,2014,Belarus,43,English
Dilara Kazimova,22,Start a Fire,2014,Azerbaijan,33,English
Pollapönk,15,No Prejudice,2014,Iceland,58,English
Carl Espen,8,Silent Storm,2014,Norway,88,English
Paula Seling & Ovi,12,Miracle,2014,Romania,72,English
Aram MP3,4,Not Alone,2014,Armenia,174,English
Sergej Ćetković,19,Moj svijet (Мој свијет),2014,Montenegro,37,Montenegrin
Donatan & Cleo,14,My Słowianie – We Are Slavic,2014,Poland,62,"Polish, English"
Freaky Fortune feat. RiskyKidd,20,Rise Up,2014,Greece,35,English
Conchita Wurst,1,Rise Like a Phoenix,2014,Austria,290,English
Elaiza,18,Is It Right,2014,Germany,39,English
Sanna Nielsen,3,Undo,2014,Sweden,218,English
TWIN TWIN,26,Moustache,2014,France,2,French2
Tolmachevy Sisters,7,Shine,2014,Russia,89,English
Emma,21,La mia città,2014,Italy,33,Italian3
Tinkara Kovač,25,Round and Round,2014,Slovenia,9,"English, Slovene"
Softengine,11,Something Better,2014,Finland,72,English
Ruth Lorenzo,10,Dancing in the Rain,2014,Spain,74,"English, Spanish"
Sebalter,13,Hunter of Stars,2014,Switzerland,64,English
András Kállay-Saunders,5,Running,2014,Hungary,143,English
Firelight,23,Coming Home,2014,Malta,32,English
Basim,9,Cliché Love Song,2014,Denmark,74,English
The Common Linnets,2,Calm After the Storm,2014,Netherlands,238,English
Valentina Monetta,24,Maybe,2014,San Marino,14,English
Molly,17,Children of the Universe,2014,United Kingdom,40,English
Maraaya,14,Here for You,2015,Slovenia,39,English
Lisa Angell,25,N'oubliez pas,2015,France,4,French
Nadav Guedj,9,Golden Boy,2015,Israel,97,English
Elina Born & Stig Rästa,7,Goodbye to Yesterday,2015,Estonia,106,English
Electro Velvet,24,Still in Love with You,2015,United Kingdom,5,English
Genealogy,16,Face the Shadow,2015,Armenia,34,English
Monika Linkytė & Vaidas Baumila,18,This Time,2015,Lithuania,30,English
Bojana Stamenov,10,Beauty Never Lies,2015,Serbia,53,English
Mørland & Debrah Scarlett,8,A Monster Like Me,2015,Norway,102,English
Måns Zelmerlöw,1,Heroes,2015,Sweden,365,English
John Karayiannis,22,One Thing I Should Have Done,2015,Cyprus,11,English
Guy Sebastian,5,Tonight Again,2015,Australia,196,English
Loïc Nottet,4,Rhythm Inside,2015,Belgium,217,English
The Makemakes,26a,I Am Yours,2015,Austria,0,English
Maria Elena Kyriakou,19,One Last Breath,2015,Greece,23,English
Knez,13,Adio,2015,Montenegro,44,Montenegrin
Ann Sophie,27,Black Smoke,2015,Germany,0,English
Monika Kuszyńska,23,In the Name of Love,2015,Poland,10,English
Aminata,6,Love Injected,2015,Latvia,186,English
Voltaj,15,De la capăt,2015,Romania,35,"Romanian, English"
Edurne,21,Amanecer,2015,Spain,15,Spanish
Boggie,20,Wars for Nothing,2015,Hungary,19,English
Nina Sublatti,11,Warrior,2015,Georgia,51,English
Elnur Huseynov,12,Hour of the Wolf,2015,Azerbaijan,49,English
Polina Gagarina,2,A Million Voices,2015,Russia,303,English
Elhaida Dani,17,I'm Alive,2015,Albania,34,English
Il Volo,3,Grande amore,2015,Italy,292,Italian
Laura Tesoro,10,What's the Pressure,2016,Belgium,181,English
Gabriela Gunčíková,25,I Stand,2016,Czech Republic,41,English
Douwe Bob,11,Slow Down,2016,Netherlands,153,English
Samra,17,Miracle,2016,Azerbaijan,117,English
Freddie,19,Pioneer,2016,Hungary,108,English
Francesca Michielin,16,No Degree of Separation,2016,Italy,124,"Italian, English"
Hovi Star,14,Made of Stars,2016,Israel,135,English
Poli Genova,4,If Love Was a Crime,2016,Bulgaria,307,"English, Bulgarian"
Frans,5,If I Were Sorry,2016,Sweden,261,English
Jamie-Lee,26,Ghost,2016,Germany,11,English
Amir,6,J'ai cherché,2016,France,257,"French, English"
Michał Szpak,8,Color of Your Life,2016,Poland,229,English
Dami Im,2,Sound of Silence,2016,Australia,511,English
Minus One,21,Alter Ego,2016,Cyprus,96,English
Sanja Vučić ZAA,18,Goodbye (Shelter),2016,Serbia,115,English
Donny Montell,9,I've Been Waiting for This Night,2016,Lithuania,200,English
Nina Kraljić,23,Lighthouse,2016,Croatia,73,English
Sergey Lazarev,3,You Are the Only One,2016,Russia,491,English
Barei,22,Say Yay!,2016,Spain,77,English
Justs,15,Heartbeat,2016,Latvia,132,English
Jamala,1,1944,2016,Ukraine,534,"English, Crimean Tatar"
Ira Losco,12,Walk on Water,2016,Malta,153,English
Nika Kocharov & Young Georgian Lolitaz,20,Midnight Gold,2016,Georgia,104,English
Zoë,13,Loin d'ici,2016,Austria,151,French
Joe and Jake,24,You're Not Alone,2016,United Kingdom,62,English
Iveta Mukuchyan,7,LoveWave,2016,Armenia,249,English
IMRI,23,I Feel Alive,2017,Israel,39,English
Kasia Moś,22,Flashlight,2017,Poland,64,English
Naviband,17,Story of My Life,2017,Belarus,83,Belarusian[e]
Nathan Trent,16,Running on Air,2017,Austria,93,English
Artsvik,18,Fly with Me,2017,Armenia,79,English
O'G3NE,11,Lights and Shadows,2017,Netherlands,150,English
Sunstroke Project,3,"Hey, Mamma!",2017,Moldova,374,English
Joci Pápai,8,Origo,2017,Hungary,200,Hungarian[c]
Francesco Gabbani,6,Occidentali's Karma,2017,Italy,334,Italian[f]
Anja,20,Where I Am,2017,Denmark,77,English
Salvador Sobral,1,Amar pelos dois,2017,Portugal,758,Portuguese
Dihaj,14,Skeletons,2017,Azerbaijan,120,English
Jacques Houdek,13,My Friend,2017,Croatia,128,"English, Italian"
Isaiah,9,Don't Come Easy,2017,Australia,173,English
Demy,19,This Is Love,2017,Greece,77,English
Manel Navarro,26,Do It for Your Lover,2017,Spain,5,"Spanish, English"
JOWST[d],10,Grab the Moment,2017,Norway,158,English
Lucie Jones,15,Never Give Up on You,2017,United Kingdom,111,English
Hovig,21,Gravity,2017,Cyprus,68,English
Ilinca ft. Alex Florea,7,Yodel It!,2017,Romania,282,English
Levina,25,Perfect Life,2017,Germany,6,English
O.Torvald,24,Time,2017,Ukraine,36,English
Blanche,4,City Lights,2017,Belgium,363,English
Robin Bengtsson,5,I Can't Go On,2017,Sweden,344,English
Kristian Kostov,2,Beautiful Mess,2017,Bulgaria,615,English
Alma,12,Requiem,2017,France,135,"French, English"
